"STARTUP_ID","INDUSTRY1","INDUSTRY2","INDUSTRY3","TECHNOLOGY1","TECHNOLOGY2","TECHNOLOGY3","DESCRIPTION_PROVIDED","REGION_CODE","COUNTRY","DIGITAL_CATALOUGE","MENTOR_BENEFIT","MIGRATION_BENEFIT","FUNDRAISING_ACTIVE_FLAG","STAGE"
124,"Professional Services","","","Human Capital Management (HCM)","Social Relationship Management (SRM)","Global Human Resources","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
289,"High Technology","Professional Services","","Cloud","Linux","Open Source","Y","EMEA","Belgium","","","","N","Bootstrap (We don’t plan on raising venture capital)"
290,"Education and Research","Higher Education","Professional Services","Big Data","Business Analytics","Cloud","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
291,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
292,"","","","","","","N","EMEA","Israel","","","","N","Bootstrap (We don’t plan on raising venture capital)"
293,"Healthcare","","","Customer Relationship Management (CRM)","","","Y","EMEA","Israel","","","","N","Bootstrap (We don’t plan on raising venture capital)"
23316,"","","","","","","N","EMEA","Germany","","","","",""
281,"Insurance","Communications","Financial Services Banking","Customer Experience (CX)","Big Data","","Y","EMEA","Israel","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
283,"","","","","","","N","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
284,"Life Sciences","Healthcare","Health Sciences","Health Management Platform Health Engagement","Health Resources Management","","Y","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
285,"Insurance","Communications","Financial Services","Artificial Intelligence","Machine Learning","Customer Experience (CX)","Y","LAD","Brazil","Y","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
286,"Hospitality","","","Marketing Cloud","","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
296,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
23459,"","","","","","","N","LAD","Brazil","","","","",""
29391,"Industrial Manufacturing","Healthcare","Aerospace and Defense","Virtual Reality/Augmented Reality","Artificial Intelligence","","Y","NAS","United States of America","","","","N","Growth (Total raised $30M+)"
29396,"Media and Entertainment","","","Software as a Service (SaaS)","","","Y","LAD","Brazil","","","","N","Pre-seed/angel (Raised up to $500k from friends, family, angels)"
621,"","","","","","","N","JAPAC","Australia","","","","N","Bootstrap (We don’t plan on raising venture capital)"
622,"Aerospace and Defense","Travel and Transportation","Professional Services","Blockchain","Platform as a Service (PaaS)","Talent Acquisition Cloud","Y","EMEA","Austria","","","","N","Bootstrap (We don’t plan on raising venture capital)"
623,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
625,"Retail","Wholesale Distribution","Manufacturing","Customer Experience for Commerce","Business Analytics","","Y","EMEA","United Kingdom","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
626,"Aerospace and Defense","Insurance","Life Sciences","Infrastructure as a Service (IaaS)","Linux","Open Source","Y","EMEA","United Kingdom","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
628,"Financial Services","Communications","Professional Services","Customer Relationship Management (CRM)","Customer Experience (CX)","Artificial Intelligence","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
629,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
630,"High Technology","","","Governance, Risk, and Compliance Management","Enterprise Performance Management (EPM)","Software as a Service (SaaS)","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
669,"Financial Services","","","Software as a Service (SaaS)","","","Y","JAPAC","India","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
670,"Natural Resources","","","Artificial Intelligence","","","Y","JAPAC","Thailand","","","","N","Bootstrap (We don’t plan on raising venture capital)"
633,"High Technology","","","Governance, Risk, and Compliance Management","Supply Chain Management Cloud","","Y","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
23452,"","","","","","","N","JAPAC","Thailand","","","","",""
634,"Consumer Goods","Healthcare","Industrial Manufacturing","Cloud","Customer Relationship Management (CRM)","","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
635,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
636,"Communications","Media and Entertainment","","Cloud","Big Data","Node.js","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
640,"Travel and Transportation","","","Artificial Intelligence","Software as a Service (SaaS)","","Y","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
641,"","","","","","","N","JAPAC","Japan","","","","N","Bootstrap (We don’t plan on raising venture capital)"
642,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
661,"Consumer Goods","Industrial Manufacturing","Financial Services Banking","Financial Management","","","Y","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
662,"Consumer Goods","Manufacturing","Retail","Blockchain","Customer Experience (CX)","Software as a Service (SaaS)","Y","EMEA","Germany","Y","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
663,"Engineering and Construction","Automotive","Industrial Manufacturing","Software as a Service (SaaS)","Cloud","","Y","EMEA","Germany","","","","N","Bootstrap (We don’t plan on raising venture capital)"
664,"Media and Entertainment","Professional Services","","Machine Learning","High Performance Computing (HPC)","Artificial Intelligence","Y","EMEA","Germany","Y","","","Y","Seed (Total raised $500K-2M)"
665,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
666,"","","","","","","N","NAS","Canada","","","","N","Bootstrap (We don’t plan on raising venture capital)"
667,"High Technology","Utilities","Communications","Cloud","Big Data","Database Migration","Y","NAS","Canada","","","","N","Bootstrap (We don’t plan on raising venture capital)"
668,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
610,"","","","","","","N","EMEA","France","","","","N","Bootstrap (We don’t plan on raising venture capital)"
611,"High Technology","","","Cloud","Big Data","Artificial Intelligence","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
612,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
613,"High Technology","","","Customer Experience (CX)","","","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
671,"Primary and Secondary Education (K-12)","Healthcare","","Mobile","","","Y","EMEA","Turkey","","","","N","Bootstrap (We don’t plan on raising venture capital)"
672,"Education and Research","Healthcare","Public Sector","Blockchain","Cloud","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
673,"Financial Services","Retail","Professional Services","Business Analytics","Marketing","Commerce","Y","LAD","Chile","","","","N","Bootstrap (We don’t plan on raising venture capital)"
674,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
23453,"","","","","","","N","JAPAC","Thailand","","","","",""
677,"High Technology","","","Cloud","","","Y","EMEA","Estonia","","","","N","Bootstrap (We don’t plan on raising venture capital)"
704,"Financial Services","Financial Services Banking","Financial Services Capital Markets","Financial Management","Artificial Intelligence","","Y","EMEA","Turkey","","","","N","Bootstrap (We don’t plan on raising venture capital)"
705,"High Technology","Healthcare","Professional Services","Internet of Things","Artificial Intelligence","Blockchain","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
706,"High Technology","Communications","Retail","Sales","Marketing","Big Data","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
707,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
708,"Automotive","Oil and Gas","Industrial Manufacturing","Cloud","Cloud Computing","Infrastructure as a Service (IaaS)","Y","JAPAC","India","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
709,"Travel and Transportation","Automotive","","Mobile","Business Intelligence","Customer Experience (CX)","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
710,"","","","","","","N","LAD","Chile","","","","N","Bootstrap (We don’t plan on raising venture capital)"
711,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
679,"","","","","","","N","LAD","Argentina","","","","N","Bootstrap (We don’t plan on raising venture capital)"
31612,"High Technology","","","Sustainability","","","Y","LAD","Colombia","","","","Y","Pre-seed/angel (Raised up to $500k from friends, family, angels)"
681,"Travel and Transportation","","","Cloud","","","Y","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
682,"Research Organizations","Communications","","Blockchain","Big Data","Artificial Intelligence","Y","EMEA","Jordan","","","","N","Pre-seed/angel (Raised up to $500k from friends, family, angels)"
683,"","","","","","","N","EMEA","Ghana","","","","N","Bootstrap (We don’t plan on raising venture capital)"
684,"Professional Services","","","Cloud","Service Cloud","Blockchain","Y","EMEA","Ireland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
685,"High Technology","","","Blockchain","","","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
701,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
31611,"","","","","","","N","NAS","United States of America","","","","",""
31631,"Research Organizations","","","Java Technology","Artificial Intelligence","PHP","Y","EMEA","Saudi Arabia","","","","N","Bootstrap (We don’t plan on raising venture capital)"
703,"Retail","Professional Services","Media and Entertainment","Customer Experience (CX)","Cloud","Supply Chain Management (SCM)","Y","JAPAC","India","Y","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
23458,"Financial Services","","","Cloud Computing","Python","Linux","Y","EMEA","Bulgaria","","","","N","Pre-seed/angel (Raised up to $500k from friends, family, angels)"
788,"High Technology","","","Artificial Intelligence","Blockchain","Business Intelligence","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
789,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
1909,"Utilities","Professional Services","Public Sector","Artificial Intelligence","Software as a Service (SaaS)","Enterprise Content Management","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
834,"Financial Services","Financial Services Capital Markets","","Cloud","Product Value Chain Cloud","Blockchain","Y","EMEA","Uganda","","","","N","Bootstrap (We don’t plan on raising venture capital)"
835,"Financial Services","Professional Services","Retail","Human Capital Management (HCM)","Customer Relationship Management (CRM)","Talent Acquisition Cloud","Y","JAPAC","Hong Kong, Special Administrative Region of China","","","","N","Bootstrap (We don’t plan on raising venture capital)"
861,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
862,"Automotive","Media and Entertainment","Financial Services Banking","Cloud","Business Analytics","Big Data","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
761,"Financial Services","","","Blockchain","Big Data","Artificial Intelligence","Y","JAPAC","Australia","","","","N","Bootstrap (We don’t plan on raising venture capital)"
825,"Healthcare","","","Blockchain","","","Y","EMEA","United Arab Emirates","","","","N","Bootstrap (We don’t plan on raising venture capital)"
826,"Engineering and Construction","Retail","Food and Beverage","Virtualization","Cloud","Database","Y","EMEA","Norway","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
724,"Consumer Goods","Media and Entertainment","","Artificial Intelligence","Marketing","Big Data","Y","EMEA","Israel","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
725,"Financial Services","Communications","Professional Services","Customer Experience (CX)","Artificial Intelligence","Big Data","Y","EMEA","Ireland","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
726,"Financial Services","Communications","Travel and Transportation","Blockchain","Internet of Things","Cloud","Y","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
806,"","","","","","","N","JAPAC","Singapore","","","","N","Bootstrap (We don’t plan on raising venture capital)"
807,"Communications","","","Enterprise Management","","","Y","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
808,"High Technology","Retail","","Customer Experience (CX)","Mobile","Artificial Intelligence","Y","EMEA","United Arab Emirates","","","Y","N","Seed (Total raised $500K-2M)"
809,"Financial Services","Financial Services Banking","","Blockchain","Cloud","","Y","EMEA","Spain","","","","N","Bootstrap (We don’t plan on raising venture capital)"
810,"High Technology","","","Database and IT Infrastructure for SAP","","","Y","EMEA","Poland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
811,"","","","","","","N","EMEA","Poland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
812,"High Technology","","","Artificial Intelligence","","","Y","EMEA","United Kingdom","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
827,"High Technology","Professional Services","","Human Capital Management (HCM)","Cloud","Data Warehousing","Y","EMEA","United Kingdom","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
829,"High Technology","","","Enterprise Management","","","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
830,"Communications","Financial Services","Public Sector","Big Data","In-Memory Database","Business Analytics","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
831,"Retail","High Technology","Communications","Python","Cloud","Big Data","Y","LAD","Peru","","","","N","Bootstrap (We don’t plan on raising venture capital)"
832,"","","","","","","N","EMEA","Czech Republic","","","","N","Bootstrap (We don’t plan on raising venture capital)"
863,"Education and Research","High Technology","","Human Capital Management (HCM)","Global Human Resources","Talent Management","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
864,"","","","","","","N","LAD","Argentina","","","","N","Bootstrap (We don’t plan on raising venture capital)"
865,"","","","","","","N","EMEA","United Arab Emirates","","","","N","Bootstrap (We don’t plan on raising venture capital)"
712,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
713,"High Technology","","","Node.js","Blockchain","Cloud","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
715,"Engineering and Construction","","","Cloud","Big Data","Customer Experience for Marketing","Y","EMEA","Turkey","","","","N","Bootstrap (We don’t plan on raising venture capital)"
716,"Public Sector","Travel and Transportation","","Big Data","Internet of Things","Business Process Management","Y","EMEA","Turkey","Y","","Y","N","Bootstrap (We don’t plan on raising venture capital)"
717,"","","","","","","N","EMEA","Israel","","","","N","Bootstrap (We don’t plan on raising venture capital)"
718,"","","","","","","N","JAPAC","New Zealand","","","","N","Bootstrap (We don’t plan on raising venture capital)"
719,"","","","","","","N","EMEA","France","","","","N","Bootstrap (We don’t plan on raising venture capital)"
720,"Manufacturing","Education and Research","","Human Capital Management (HCM)","Mobile","","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
721,"High Technology","Communications","","Big Data","Data Warehousing","Linux","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
722,"High Technology","Oil and Gas","Manufacturing","Artificial Intelligence","Business Intelligence","Supply Chain Management (SCM)","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
723,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
813,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
801,"High Technology","","","Enterprise Management","Enterprise Resource Planning (ERP)","Commerce","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
803,"","","","","","","N","JAPAC","Singapore","","","","N","Bootstrap (We don’t plan on raising venture capital)"
804,"","","","","","","N","EMEA","Finland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
814,"Financial Services","Professional Services","Communications","Artificial Intelligence","Business Intelligence","Software as a Service (SaaS)","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
815,"Financial Services","Travel and Transportation","High Technology","Business Analytics","Mobile","Sales","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
816,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
821,"Consumer Goods","Food and Beverage","Media and Entertainment","Business Intelligence","Mobile","Customer Experience for Marketing","Y","LAD","Mexico","","","","N","Bootstrap (We don’t plan on raising venture capital)"
822,"Retail","Media and Entertainment","Public Sector","Big Data","Artificial Intelligence","Cloud Computing","Y","LAD","Peru","","","","N","Bootstrap (We don’t plan on raising venture capital)"
823,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
824,"Retail","Travel and Transportation","Utilities","Blockchain","Data Integration","Cloud","Y","EMEA","Switzerland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
818,"Engineering and Construction","Financial Services","Healthcare","PHP","Human Capital Management (HCM)","Global Human Resources","Y","EMEA","Switzerland","","","Y","N","Bootstrap (We don’t plan on raising venture capital)"
819,"Retail","Hospitality","","Big Data","","","Y","NAS","United States of America","","","","Y","Pre-seed/angel (Raised up to $500k from friends, family, angels)"
820,"High Technology","Retail","Media and Entertainment","Virtualization","Cloud","Customer Experience for Commerce","Y","LAD","Chile","","","","N","Bootstrap (We don’t plan on raising venture capital)"
836,"","","","","","","N","JAPAC","Singapore","","","","N","Bootstrap (We don’t plan on raising venture capital)"
837,"","","","","","","N","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
840,"Public Sector","High Technology","Financial Services Capital Markets","Blockchain","Virtualization","Platform as a Service (PaaS)","Y","NAS","Canada","","","","N","Bootstrap (We don’t plan on raising venture capital)"
742,"High Technology","","","Big Data","Business Analytics","Data Integration","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
743,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
744,"Public Sector","","","Cloud","Linux","Internet of Things","Y","LAD","Argentina","","","","N","Bootstrap (We don’t plan on raising venture capital)"
745,"Financial Services","Healthcare","Media and Entertainment","Business Analytics","Big Data","Business Intelligence","Y","JAPAC","India","","Y","Y","N","Bootstrap (We don’t plan on raising venture capital)"
746,"Public Sector","Financial Services","Communications","Big Data","Business Analytics","Autonomous Database","Y","EMEA","Turkey","","","","N","Bootstrap (We don’t plan on raising venture capital)"
781,"Retail","","","Artificial Intelligence","Big Data","PL/SQL","Y","EMEA","Belgium","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
782,"","","","","","","N","EMEA","France","","","","N","Bootstrap (We don’t plan on raising venture capital)"
783,"","","","","","","N","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
