"ORDER_ID","STARTUP_ID","COUNTRY","EXTENSION","ENROLLMENT_DATE","NS_INTERNAL_ID","PAYING_CUSTOMER","PAYING_CUSTOMER_DATE","MIGRATION_STAGE","PRODUCTION_STAGE","MENTORSHIP_MILESTONES"
2561,182,"Austria","Y",26-JUN-19,9093,"Y",04-FEB-21,,3,
2562,183,"United States of America","",25-JUN-19,9094,"",,,1,
2563,184,"United States of America","",25-JUN-19,4588,"",,,1,
2564,185,"United States of America","",25-JUN-19,9095,"",,,1,3
3127,1068,"India","Y",03-OCT-19,2363,"Y",03-OCT-21,,2,
3986,1909,"United States of America","Y",17-FEB-20,116364,"Y",17-FEB-22,,2,
2584,205,"United States of America","Y",27-JUN-19,2424,"Y",09-JUL-20,,3,1
2585,206,"United States of America","",27-JUN-19,7452,"",,,,
2586,207,"United States of America","",27-JUN-19,18666,"",,,,
2587,208,"United States of America","",28-JUN-19,18466,"",,,,
2718,640,"United Kingdom","Y",24-JUL-19,20365,"Y",10-JAN-20,,3,
2719,641,"Japan","Y",24-JUL-19,20364,"",,,2,
2720,642,"United States of America","",24-JUL-19,12293,"",,,1,
2740,661,"India","",27-JUL-19,20375,"",,,1,
2741,662,"Germany","Y",25-JUL-19,20380,"Y",07-AUG-19,,3,3
2742,663,"Germany","",26-JUL-19,2357,"",,,1,
2743,664,"Germany","Y",26-JUL-19,2494,"Y",26-SEP-19,,3,1
3061,1002,"India","",22-SEP-19,24368,"",,,1,
3063,1004,"United Kingdom","",22-SEP-19,950,"",,,1,
3064,1005,"United States of America","",23-SEP-19,24369,"",,,1,
3065,1006,"United States of America","Y",23-SEP-19,24374,"Y",14-OCT-19,,3,1
3066,1007,"India","Y",23-SEP-19,24375,"Y",05-MAR-20,,3,
2500,101,"Brazil","",21-JUN-19,7589,"",,,1,
2501,102,"Brazil","",21-JUN-19,5378,"",,,1,1
2502,103,"Brazil","",21-JUN-19,7590,"",,,1,5
2505,106,"United States of America","",18-JUN-19,7782,"",,,1,
2506,107,"United States of America","",18-JUN-19,7788,"",,,1,
2507,108,"United States of America","Y",19-JUN-19,7785,"Y",22-NOV-19,,3,1
2508,109,"United States of America","",20-JUN-19,7787,"",,,1,4
3080,1021,"United Kingdom","Y",25-SEP-19,11311,"Y",24-OCT-19,,3,1
9318,23136,"United States of America","Y",01-OCT-21,616431,"Y",19-DEC-21,,3,
3012,953,"United Kingdom","Y",18-SEP-19,23994,"",,,1,
3013,954,"India","",17-SEP-19,23996,"",,,1,
3014,955,"United States of America","Y",18-SEP-19,2421,"Y",24-OCT-20,10,3,
3015,956,"Poland","",18-SEP-19,23993,"",,,1,
2503,104,"United States of America","",17-JUN-19,7786,"",,,1,
2504,105,"United States of America","",18-JUN-19,7783,"",,,1,
3017,958,"United States of America","",17-SEP-19,453,"",,,,
3081,1022,"Brazil","",24-SEP-19,583,"",,,1,
3082,1023,"Brazil","Y",24-SEP-19,24585,"Y",28-OCT-19,,2,
3083,1024,"India","Y",24-SEP-19,24372,"",,,1,1
3084,1025,"India","",24-SEP-19,24586,"",,,1,
3085,1026,"Slovakia","Y",25-SEP-19,24607,"Y",30-OCT-20,,3,
3086,1027,"Belgium","",25-SEP-19,13927,"",,1,1,1
3087,1028,"Poland","",26-SEP-19,24608,"",,,1,
3089,1030,"Chile","Y",25-SEP-19,23319,"",,,,
3090,1031,"United States of America","",25-SEP-19,24583,"",,,1,
3101,1043,"Israel","",27-SEP-19,25181,"",,,1,
3102,1044,"Brazil","",27-SEP-19,543,"",,,1,1
2511,112,"United States of America","",23-JUN-19,7789,"",,,1,
2509,110,"United States of America","",20-JUN-19,7784,"",,,1,
2512,113,"India","Y",20-JUN-19,7678,"Y",12-SEP-20,4,3,
2514,115,"Australia","Y",17-JUN-19,7585,"Y",03-JAN-20,,3,
2515,116,"Ireland","Y",18-JUN-19,7579,"",,,1,
2516,117,"Netherlands","Y",19-JUN-19,7778,"Y",07-AUG-19,,3,
2517,118,"Germany","Y",18-JUN-19,7779,"Y",06-DEC-19,,3,
2518,119,"United Kingdom","Y",19-JUN-19,7580,"Y",10-OCT-19,,3,5
2520,121,"United Kingdom","",20-JUN-19,7582,"",,,1,
2523,124,"Brazil","Y",18-JUN-19,7781,"Y",13-JAN-20,5,3,1
2566,187,"United States of America","",26-JUN-19,9805,"",,,1,1
2603,224,"India","",01-JUL-19,9951,"",,1,1,1
9319,23137,"United States of America","",04-OCT-21,589252,"",,,1,
2605,226,"United States of America","",01-JUL-19,4478,"",,,1,
2612,233,"Singapore","Y",03-JUL-19,2352,"Y",26-NOV-19,,3,
2613,234,"Colombia","",03-JUL-19,18869,"",,,1,
3008,949,"United Kingdom","",16-SEP-19,23783,"",,,,
3009,950,"United States of America","Y",16-SEP-19,23786,"Y",07-MAR-20,,3,5
3010,951,"United States of America","Y",16-SEP-19,23785,"Y",16-SEP-21,,3,1
3011,952,"Philippines","Y",15-SEP-19,23784,"",,,1,
3175,1117,"United States of America","",09-OCT-19,29686,"",,,1,
3176,1118,"Netherlands","",09-OCT-19,29685,"",,,1,
3177,1120,"Brazil","Y",07-OCT-19,25725,"",,,1,
3183,1124,"Malaysia","",09-OCT-19,27833,"",,,2,1
3184,1125,"United Kingdom","Y",11-OCT-19,6103,"Y",30-NOV-19,,3,
3185,1126,"United Kingdom","Y",11-OCT-19,30005,"Y",22-AUG-20,,3,
3186,1128,"United States of America","",10-OCT-19,30004,"",,,,
3187,1129,"United States of America","",10-OCT-19,29379,"",,,,
3188,1130,"Spain","Y",10-OCT-19,30002,"Y",07-FEB-22,,2,
3193,1136,"Saudi Arabia","",14-OCT-19,33052,"",,,1,
3040,981,"United States of America","Y",19-SEP-19,24340,"Y",19-MAR-20,,3,
3018,959,"Singapore","Y",18-SEP-19,748,"",,,1,
3019,960,"Germany","",18-SEP-19,24309,"",,,1,
3020,961,"Colombia","Y",18-SEP-19,23312,"Y",18-SEP-21,,2,
3021,962,"United States of America","",18-SEP-19,697083,"",,,,
3041,982,"United States of America","",19-SEP-19,24342,"",,,,
3043,984,"United States of America","Y",19-SEP-19,23282,"Y",19-SEP-21,,1,
3044,985,"Ireland","",19-SEP-19,715,"",,,,
3045,986,"Brazil","Y",21-SEP-19,24339,"Y",21-FEB-20,4,3,1
4264,2186,"Honduras","Y",24-MAR-20,146594,"Y",24-MAR-22,,3,
4088,2014,"United Kingdom","Y",04-MAR-20,135642,"Y",19-DEC-20,,3,
4089,2015,"United Kingdom","",04-MAR-20,31552,"",,,1,
4091,2017,"United States of America","Y",04-MAR-20,2311,"Y",04-MAR-22,4,3,1
4280,2201,"Italy","Y",25-MAR-20,147599,"Y",04-JUL-20,,3,
4140,2061,"Estonia","",09-MAR-20,139376,"",,,1,
4141,2063,"Colombia","",09-MAR-20,139378,"",,,1,
4142,2064,"Brazil","",09-MAR-20,139377,"",,,1,
4143,2066,"Germany","Y",11-MAR-20,31582,"Y",09-JUN-22,,3,
4144,2067,"Brazil","",10-MAR-20,94544,"",,,1,
4145,2068,"Brazil","",11-MAR-20,114438,"Y",01-SEP-21,,2,
4147,2070,"United States of America","",10-MAR-20,128184,"",,,1,
4180,2102,"United States of America","Y",14-MAR-20,141640,"",,,1,
4200,2122,"Cameroon","",16-MAR-20,142754,"",,,2,
4201,2123,"Brazil","Y",16-MAR-20,82698,"Y",16-MAR-22,,2,1
4202,2124,"United States of America","",15-MAR-20,142755,"",,,,
4203,2125,"Italy","Y",16-MAR-20,142752,"Y",07-DEC-21,,3,
4204,2126,"Saudi Arabia","",16-MAR-20,142751,"Y",24-MAR-22,,1,
4205,2127,"India","",16-MAR-20,142753,"",,,1,
4160,2081,"United Arab Emirates","Y",12-MAR-20,140924,"Y",07-SEP-20,,3,
4161,2082,"Saudi Arabia","",13-MAR-20,140922,"",,,1,
4163,2085,"Brazil","",13-MAR-20,133175,"",,,1,
4164,2086,"United States of America","",12-MAR-20,140925,"",,,1,
4165,2087,"United States of America","",12-MAR-20,140926,"",,,1,
4166,2088,"United States of America","",12-MAR-20,140391,"",,,,
4220,2141,"Lithuania","",17-MAR-20,141945,"",,,1,
4221,2142,"United Kingdom","",17-MAR-20,143164,"Y",29-AUG-20,,,
4222,2143,"Gibraltar","Y",18-MAR-20,141743,"Y",11-APR-21,,3,
4106,2031,"Brazil","",05-MAR-20,134901,"",,,1,
4107,2032,"Brazil","Y",07-MAR-20,131350,"Y",03-MAY-21,7,3,
4148,2071,"Switzerland","",11-MAR-20,140393,"",,,1,
4149,2072,"United States of America","Y",11-MAR-20,140394,"Y",11-MAR-22,,1,
4306,2228,"Switzerland","Y",28-MAR-20,2475,"Y",07-JUL-20,,3,
4307,2229,"United States of America","",29-MAR-20,148529,"",,,,
5471,2231,"Brazil","",31-MAR-20,10059,"",,,1,
5472,2232,"United States of America","Y",30-MAR-20,18871,"Y",30-MAR-22,10,3,
5473,2233,"United States of America","",30-MAR-20,149639,"",,,1,
5474,2235,"India","",30-MAR-20,149638,"",,,1,
5475,2236,"Turkey","",31-MAR-20,150144,"Y",31-MAR-22,,2,
5501,2263,"Brazil","",02-APR-20,151904,"",,,1,
5502,2264,"United States of America","Y",02-APR-20,132252,"Y",05-APR-21,,3,
5503,2265,"Ireland","",02-APR-20,151901,"",,,1,
5504,2267,"Denmark","",03-APR-20,150478,"",,,2,
5505,2268,"India","Y",02-APR-20,151902,"Y",22-NOV-21,,2,1
5506,2269,"India","Y",03-APR-20,151903,"Y",24-MAY-20,4,3,
5507,2270,"Saudi Arabia","",04-APR-20,154023,"",,,1,
5477,2244,"United States of America","Y",31-MAR-20,149435,"Y",21-SEP-20,4,3,
5478,2245,"United States of America","Y",31-MAR-20,150380,"Y",31-MAR-22,,2,
5479,2246,"United States of America","",31-MAR-20,150381,"",,,1,
5480,2249,"Germany","Y",31-MAR-20,150378,"Y",30-AUG-20,,3,
5481,2250,"United Kingdom","Y",01-APR-20,150377,"Y",01-APR-22,,1,
5482,2251,"Czech Republic","",01-APR-20,150379,"Y",06-FEB-22,,2,
5508,2271,"Kenya","",05-APR-20,154024,"",,,1,
5511,2276,"United States of America","",03-APR-20,154026,"Y",22-AUG-21,,2,
5512,2279,"United States of America","Y",05-APR-20,154639,"Y",11-JUL-20,,3,1
5513,2280,"Australia","",07-APR-20,155758,"",,,1,
5514,2282,"Brazil","",07-APR-20,25194,"",,,1,
5515,2283,"Brazil","Y",07-APR-20,155759,"Y",29-AUG-20,,3,
5516,2284,"Brazil","",07-APR-20,153915,"Y",07-APR-22,,1,
5517,2285,"United Kingdom","",08-APR-20,155757,"",,,1,
5518,2286,"United Kingdom","Y",07-APR-20,155756,"Y",07-APR-22,5,1,1
5519,2288,"Denmark","Y",07-APR-20,150482,"Y",04-OCT-20,18,3,
5520,2289,"United States of America","",06-APR-20,155760,"",,,1,
5540,2302,"Brazil","",08-APR-20,153917,"",,,1,
5541,2303,"Brazil","",09-APR-20,156902,"",,,1,
5542,2304,"Mexico","",08-APR-20,156907,"",,,1,
5543,2305,"United States of America","Y",08-APR-20,156906,"Y",13-MAR-21,,3,1
5544,2306,"United States of America","",09-APR-20,156903,"",,,1,
5545,2307,"United States of America","",10-APR-20,156905,"",,,1,
5546,2308,"United States of America","Y",11-APR-20,156904,"",,,1,
5547,2310,"India","Y",10-APR-20,137166,"Y",09-AUG-21,4,3,
5548,2311,"India","",10-APR-20,156899,"Y",10-APR-22,,2,
5549,2312,"India","",10-APR-20,156900,"",,,1,
5550,2313,"India","",11-APR-20,156901,"Y",10-MAY-21,,2,
5551,2314,"Saudi Arabia","Y",09-APR-20,156896,"Y",14-JUL-20,10,3,
5552,2315,"Denmark","",10-APR-20,156898,"",,,1,
5553,2316,"United Kingdom","",09-APR-20,156897,"",,,1,
5560,2323,"Brazil","Y",11-APR-20,157624,"Y",25-FEB-21,,2,
5561,2326,"Brazil","",13-APR-20,158344,"",,,1,
5562,2327,"United States of America","",13-APR-20,158345,"",,,1,
5563,2328,"Congo, Democratic Republic of the","Y",13-APR-20,158342,"",,,1,
5564,2329,"India","Y",12-APR-20,158343,"",,,2,
5566,2332,"United Kingdom","Y",15-APR-20,160248,"Y",25-AUG-21,,3,
5567,2333,"Saudi Arabia","",14-APR-20,160252,"Y",02-MAR-21,,2,
5568,2334,"United States of America","",14-APR-20,160258,"",,,1,
5569,2335,"United States of America","Y",14-APR-20,160257,"Y",14-APR-22,,2,
5570,2336,"United States of America","",14-APR-20,160256,"",,,,
5571,2337,"United States of America","",14-APR-20,160259,"",,,1,
5572,2338,"United States of America","",14-APR-20,160255,"",,,1,
5573,2341,"Brazil","",13-APR-20,160260,"",,,1,
5574,2342,"Brazil","Y",14-APR-20,160254,"Y",25-AUG-20,,3,
5600,2382,"Italy","",21-APR-20,164179,"",,,1,
5601,2384,"Lithuania","",22-APR-20,164380,"Y",10-FEB-21,,2,
5602,2385,"Mexico","",21-APR-20,165689,"",,,1,1
5603,2386,"United States of America","",22-APR-20,165789,"",,,1,
5604,2389,"Hungary","Y",22-APR-20,156463,"",,,1,
5605,2392,"Brazil","Y",22-APR-20,166292,"Y",22-APR-22,,2,
5606,2393,"Brazil","Y",22-APR-20,166900,"Y",16-NOV-20,,3,
5608,2395,"Ghana","",23-APR-20,165890,"Y",23-APR-22,5,1,
5609,2396,"India","",22-APR-20,166899,"Y",24-APR-22,,2,
5610,2397,"Poland","",23-APR-20,130337,"",,,1,2
5611,2398,"Australia","",22-APR-20,166898,"",,,1,
5620,2401,"Brazil","Y",24-APR-20,168005,"Y",08-JUL-20,,3,
5621,2402,"Spain","",23-APR-20,168006,"",,,1,
5622,2403,"Spain","Y",24-APR-20,156258,"",,,1,
5623,2404,"Singapore","",24-APR-20,168007,"",,,1,
5624,2407,"United States of America","",23-APR-20,168009,"",,,1,
5625,2408,"Argentina","",24-APR-20,162558,"",,,1,
5627,2410,"United States of America","",24-APR-20,168010,"Y",05-MAR-22,,2,
5629,2424,"United States of America","",27-MAR-20,149233,"",,,1,
5630,2426,"United States of America","",27-APR-20,171732,"",,,1,
5631,2427,"United States of America","",27-APR-20,171731,"Y",27-NOV-20,,2,
5575,2345,"Brazil","Y",15-APR-20,160249,"Y",13-OCT-20,,2,
5576,2346,"Brazil","Y",15-APR-20,160250,"Y",02-AUG-20,,3,
5577,2347,"United States of America","",15-APR-20,160251,"",,,1,
5580,2361,"Ireland","Y",17-APR-20,6105,"Y",12-SEP-20,,3,
5581,2362,"Saudi Arabia","",17-APR-20,161655,"",,,1,
5582,2363,"France","Y",17-APR-20,150375,"Y",29-JUL-20,,3,
5583,2364,"Belgium","Y",16-APR-20,150370,"Y",03-APR-21,,3,
5584,2366,"Germany","",16-APR-20,161656,"",,,1,
5585,2368,"Brazil","Y",16-APR-20,144373,"Y",18-MAY-21,6,3,
12908,32305,"Portugal","",23-JUN-22,913671,"",,,1,
5587,2370,"United States of America","",17-APR-20,161658,"",,,1,
5588,2371,"United States of America","",17-APR-20,161659,"",,19,1,1
5589,2372,"Saudi Arabia","",19-APR-20,162966,"",,,1,
5590,2373,"Sweden","Y",20-APR-20,150485,"Y",22-FEB-21,,3,
5632,2429,"Brazil","",27-APR-20,166795,"",,18,1,
5640,2431,"Brazil","Y",28-APR-20,167203,"Y",28-APR-22,,2,
5641,2432,"United States of America","Y",28-APR-20,173345,"Y",28-APR-22,,2,1
5642,2433,"United Arab Emirates","Y",28-APR-20,173346,"Y",04-MAY-20,,,
5643,2434,"Ghana","",29-APR-20,173344,"",,,1,
5644,2435,"Pakistan","",29-APR-20,173343,"Y",29-APR-22,,1,
5645,2437,"United States of America","",28-APR-20,173347,"",,,1,
5646,2438,"United States of America","",28-APR-20,173348,"",,,1,
3740,1661,"United States of America","Y",30-DEC-19,89441,"Y",10-DEC-21,,1,5
3243,1184,"United States of America","Y",21-OCT-19,28350,"Y",03-MAY-21,,3,
3244,1185,"United States of America","",22-OCT-19,4250,"",,,1,3
3245,1186,"Brazil","",22-OCT-19,25201,"",,,1,
3246,1187,"Saudi Arabia","",21-OCT-19,41953,"",,,1,
3260,1201,"Egypt","Y",24-OCT-19,45571,"",,,1,
3261,1202,"Brazil","Y",25-OCT-19,45573,"Y",01-SEP-20,,3,
3262,1203,"Germany","Y",25-OCT-19,45572,"Y",25-OCT-21,,3,3
3263,1204,"Germany","Y",25-OCT-19,31535,"Y",25-OCT-21,,3,2
3264,1205,"United Kingdom","Y",24-OCT-19,45570,"Y",26-FEB-22,,1,
3265,1206,"United States of America","",23-OCT-19,45569,"",,,1,
3266,1207,"United States of America","",26-OCT-19,45574,"",,,1,
3443,1364,"Luxembourg","",13-NOV-19,64986,"",,,1,
3444,1365,"Estonia","Y",14-NOV-19,64984,"Y",08-FEB-20,,2,
3445,1366,"Croatia","",14-NOV-19,64988,"",,,1,
9498,23452,"Thailand","",11-OCT-21,828881,"",,,1,
3449,1370,"Brazil","",13-NOV-19,15141,"",,,1,
3622,1543,"United States of America","",09-DEC-19,81478,"",,,1,
3623,1544,"Brazil","",09-DEC-19,81477,"",,,1,
3624,1545,"Finland","Y",10-DEC-19,81475,"Y",03-MAY-21,,2,
3626,1547,"Korea, Republic of","",10-DEC-19,81479,"",,,1,
3627,1548,"Czech Republic","Y",10-DEC-19,20453,"Y",01-APR-21,,2,
3764,1685,"Latvia","Y",07-JAN-20,90980,"Y",07-JAN-22,,2,
3765,1686,"Brazil","",06-JAN-20,90159,"",,,1,
3846,1768,"France","",21-JAN-20,100122,"Y",26-JUL-21,,1,1
3847,1769,"South Africa","Y",21-JAN-20,100121,"",,,1,
3949,1871,"United States of America","Y",08-FEB-20,114040,"Y",18-JAN-21,,3,
3950,1872,"United States of America","",08-FEB-20,114041,"",,,1,
3953,1877,"Singapore","",10-FEB-20,12286,"",,,1,1
3954,1878,"United States of America","Y",11-FEB-20,8082,"Y",08-FEB-21,,3,4
3955,1879,"United States of America","Y",11-FEB-20,117089,"",,,1,
3957,1882,"Germany","Y",12-FEB-20,90977,"Y",16-JUL-20,12,3,
3958,1883,"Germany","",12-FEB-20,6924,"",,,1,
3959,1884,"France","Y",11-FEB-20,113119,"Y",13-OCT-20,,3,
3960,1885,"Netherlands","Y",13-FEB-20,117403,"Y",13-FEB-22,,1,
3961,1886,"Korea, Republic of","",13-FEB-20,117503,"",,,1,
3962,1887,"Bulgaria","Y",13-FEB-20,410409,"",,,1,
3964,1889,"United States of America","",12-FEB-20,117406,"",,,1,1
3965,1890,"United States of America","Y",12-FEB-20,117407,"Y",12-FEB-22,,2,
3966,1892,"Brazil","Y",13-FEB-20,117405,"Y",18-SEP-21,12,3,
3980,1902,"Brazil","Y",13-FEB-20,118611,"Y",18-MAY-21,,2,
3981,1903,"Brazil","Y",13-FEB-20,118610,"Y",12-MAR-21,,2,
3982,1904,"United States of America","Y",13-FEB-20,118612,"",,,1,
3983,1905,"United States of America","Y",16-FEB-20,120064,"",,,1,
3803,1725,"Brazil","Y",15-JAN-20,25204,"Y",31-JAN-20,10,3,
3804,1726,"United States of America","",15-JAN-20,96575,"",,,1,
3805,1727,"United States of America","Y",15-JAN-20,96576,"Y",15-JAN-22,,2,1
3840,1761,"Japan","",20-JAN-20,14684,"",,,1,
3841,1762,"Ukraine","Y",20-JAN-20,99199,"Y",20-JAN-22,,2,
3843,1765,"Brazil","Y",20-JAN-20,78550,"Y",24-FEB-20,,3,
3844,1766,"Brazil","Y",20-JAN-20,99201,"Y",20-JAN-22,,1,
3887,1810,"Israel","",29-JAN-20,106819,"",,,1,
3888,1811,"Finland","Y",29-JAN-20,106820,"",,,2,
3889,1813,"Brazil","",29-JAN-20,105275,"",,,1,
3890,1814,"Brazil","",29-JAN-20,105477,"",,,1,
3892,1816,"Switzerland","Y",29-JAN-20,106816,"",,,2,
3893,1817,"Belgium","Y",30-JAN-20,106812,"Y",15-MAR-20,,3,
3900,1822,"Brazil","",31-JAN-20,103452,"",,,1,
3901,1823,"United States of America","Y",30-JAN-20,107348,"Y",03-OCT-21,19,2,
3990,1915,"Australia","",19-FEB-20,122931,"",,,1,
3991,1916,"India","",18-FEB-20,122933,"",,,1,
3993,1918,"United Kingdom","Y",19-FEB-20,122929,"",,,1,
3994,1919,"Poland","Y",19-FEB-20,122930,"Y",03-OCT-20,,2,
3995,1920,"Brazil","Y",18-FEB-20,122934,"Y",17-JUL-21,,2,
3768,1689,"India","Y",07-JAN-20,91698,"Y",04-MAY-21,,2,
3848,1771,"United States of America","Y",22-JAN-20,101426,"",,,1,
2707,628,"United States of America","Y",19-JUL-19,20030,"Y",05-AUG-19,,3,
3885,1808,"United States of America","",28-JAN-20,99507,"",,,1,
3920,1841,"Brazil","",03-FEB-20,108651,"",,,1,
3921,1842,"Switzerland","",04-FEB-20,109978,"",,,1,
3923,1845,"United States of America","Y",03-FEB-20,109980,"",,,1,
3924,1846,"United States of America","",03-FEB-20,109981,"",,,1,
3925,1850,"Brazil","Y",05-FEB-20,112004,"Y",10-MAY-21,,2,
3926,1851,"Brazil","Y",05-FEB-20,112003,"Y",05-FEB-22,,1,
3951,1874,"United States of America","Y",08-FEB-20,115743,"",,,1,
3952,1875,"United States of America","Y",09-FEB-20,115744,"",,,2,
3984,1907,"Brazil","",17-FEB-20,120063,"",,,1,
3985,1908,"Jordan","",17-FEB-20,120062,"",,,1,
3996,1921,"United States of America","Y",18-FEB-20,122935,"",,,1,
3997,1922,"United States of America","Y",18-FEB-20,122421,"",,,1,
3998,1923,"United States of America","",18-FEB-20,122939,"",,,1,
3999,1924,"United States of America","Y",18-FEB-20,122937,"",,,,
4000,1925,"United States of America","Y",18-FEB-20,122936,"",,,1,
4001,1926,"United States of America","Y",18-FEB-20,122938,"",,,1,
4002,1928,"Brazil","Y",19-FEB-20,14087,"Y",22-MAY-21,,3,3
4003,1929,"Brazil","",19-FEB-20,124462,"",,,1,
4004,1930,"Brazil","Y",19-FEB-20,11729,"",,,1,
4005,1931,"United States of America","Y",19-FEB-20,103862,"Y",02-APR-20,,3,
4006,1932,"United States of America","Y",19-FEB-20,124464,"",,,1,
4007,1933,"Mexico","",19-FEB-20,124463,"",,,1,
4020,1941,"United States of America","Y",20-FEB-20,125076,"",,,1,
4021,1942,"United States of America","",21-FEB-20,125074,"",,,1,
4022,1943,"Chile","Y",21-FEB-20,125073,"Y",21-FEB-22,,2,
4023,1944,"United States of America","",21-FEB-20,125075,"",,,1,
4024,1946,"Denmark","Y",21-FEB-20,110788,"",,,1,
4026,1948,"Brazil","",20-FEB-20,125071,"Y",26-JUN-21,,2,
4028,1950,"Estonia","Y",21-FEB-20,6101,"Y",21-FEB-22,,2,
4029,1951,"Botswana","Y",21-FEB-20,125070,"",,,1,
4030,1952,"Germany","Y",21-FEB-20,125169,"Y",13-JUL-21,,3,
4035,1959,"United Kingdom","",24-FEB-20,128388,"",,,1,
4036,1960,"United Kingdom","Y",25-FEB-20,124047,"",,,,
4037,1961,"Costa Rica","Y",25-FEB-20,129404,"Y",25-FEB-22,,2,
4038,1962,"United States of America","",25-FEB-20,129403,"Y",23-MAY-21,,2,
4039,1963,"United Kingdom","Y",25-FEB-20,78245,"Y",10-MAY-21,,2,
4041,1967,"India","",26-FEB-20,130746,"",,,1,1
3741,1662,"United States of America","Y",30-DEC-19,89440,"Y",08-JUL-20,,3,2
3763,1684,"United States of America","",05-JAN-20,90566,"",,,1,
3820,1741,"India","",16-JAN-20,97886,"",,,1,
3821,1743,"Brazil","",16-JAN-20,77643,"",,,1,
3823,1745,"United States of America","Y",16-JAN-20,97887,"Y",16-JAN-22,,2,
4042,1968,"United Kingdom","Y",26-FEB-20,40750,"Y",26-FEB-22,4,3,
4043,1969,"Turkey","Y",27-FEB-20,130745,"Y",10-MAY-21,,2,
